Place,Indicator,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Madrid,"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",,,,,,,,"18,369","19,653","19,332",
Madrid,"Employment (Number, FTE) in Printing and reproduction of recorded media",,,,,,,,"15,009","14,584","14,709",
Madrid,"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",,,,,,,,"11,934","13,970","14,602",
Madrid,"Employment (Number, FTE) in Repair and installation of machinery and equipment",,,,,,,,"13,382","12,779","13,938",
Madrid,"Employment (Number, FTE) in Manufacture of other transport equipment",,,,,,,,"11,789","12,614","12,590",
Spain,"Employment (Number, FTE) in Manufacture of food products","298,222","296,149","291,085","284,456","274,050","280,028","287,596","308,543","322,010","344,827",
Spain,"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment","262,521","248,871","233,261","205,134","194,367","188,952","195,244","203,630","214,749","227,601",
Spain,"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers","128,945","129,153","129,770","121,430","120,090","125,825","134,548","146,883","151,530","156,470",
Spain,"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.","107,206","99,845","96,143","93,610","91,556","92,198","94,531","97,679","100,716","107,411",
Spain,"Employment (Number, FTE) in Manufacture of rubber and plastic products","95,186","92,377","90,082","84,476","83,565","81,939","85,892","88,714","91,952","96,600",
Spain,"Employment (Number, FTE) in Manufacture of other non-metallic mineral products","138,453","122,946","111,438","93,109","82,357","78,157","78,375","82,812","85,007","91,682",
Spain,"Employment (Number, FTE) in Manufacture of chemicals and chemical products","82,309","81,521","78,970","77,651","77,060","76,751","79,603","83,567","86,173","89,989",
Spain,Gross Investment in Tangible Goods (Million Euro) in Manufacture of food products,"2,844.20","2,728.40","2,712","2,476","2,275","2,578.50","2,699","2,843","3,249.50","3,539.40",
Spain,"Gross Investment in Tangible Goods (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers","1,785.30","1,257.40","1,339.60","2,030.60","2,580.80","2,358.40","2,694.60","2,562.80","2,763.40","3,069.30",
Spain,"Gross Investment in Tangible Goods (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment","1,109",935.8,931.3,850.1,828,"1,073.90","1,391.30","1,254.60","1,455","1,599.50",
Spain,Gross Investment in Tangible Goods (Million Euro) in Manufacture of chemicals and chemical products,"1,176",833.3,876.5,955.5,"1,244.70","1,408.30","1,208.80","1,239.10","1,340.80","1,407.10",
Spain,Gross Investment in Tangible Goods (Million Euro) in Manufacture of rubber and plastic products,686.1,586.7,687.9,665.9,691,783.4,964.9,903.7,"1,070.30","1,185.80",
Spain,Gross Investment in Tangible Goods (Million Euro) in Manufacture of beverages,745.6,796.2,676.6,786.5,733.5,800.6,990.6,"1,011","1,135.80","1,114.90",
Spain,Gross Investment in Tangible Goods (Million Euro) in Manufacture of other non-metallic mineral products,"1,335.50","1,007.90",951.7,625.7,629,499.5,550.9,691,792.3,"1,106.20",
Spain,Gross Investment in Tangible Goods (Million Euro) in Manufacture of basic metals,931.9,801.7,673.5,981.9,571.5,565.4,592.7,646.8,927.2,"1,005",
Spain,"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment","39,260","39,261","37,535","35,736","35,074","33,371","33,045","32,860","32,675","32,408",
Spain,Firms (Number) in Manufacture of food products,"23,114","23,471","23,165","22,961","22,619","22,445","22,215","22,537","23,151","24,437",
Spain,Firms (Number) in Repair and installation of machinery and equipment,"11,771","10,629","10,536","10,107","10,576","10,782","10,890","11,446","12,633","13,698",
Spain,Firms (Number) in Printing and reproduction of recorded media,"15,669","15,332","14,821","14,361","14,383","13,979","13,479","13,456","13,032","13,493",
Spain,Firms (Number) in Manufacture of furniture,"15,155","15,577","14,758","14,058","12,611","12,355","11,882","11,802","11,668","11,554",
Spain,Value Added (Million Euro) in Manufacture of food products,"14,819.40","15,539.60","15,991.80","15,052.90","15,083.50","15,710.50","15,199.80","15,654.40","16,375.90","17,753",
Spain,"Value Added (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment","11,636.90","11,268.90","10,801","9,741","9,371.30","9,704.10","9,988.50","10,346","11,165.40","12,193.30",
Spain,"Value Added (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers","7,071.40","8,110.70","8,463.10","7,637.80","8,348.80","9,881.80","10,179.90","10,772.20","11,263.60","11,759.90",
Spain,Value Added (Million Euro) in Manufacture of chemicals and chemical products,"5,986","7,318.70","7,791.90","7,072.50","6,687.80","7,073.50","7,876","8,466.80","8,942.70","8,889.60",
Spain,Value Added (Million Euro) in Manufacture of machinery and equipment n.e.c.,"5,897.40","5,938.70","5,851.40","5,723.70","5,623.80","6,125.90","5,944.40","5,950","6,368.70","6,846.30",
Spain,Value Added (Million Euro) in Manufacture of rubber and plastic products,"4,921","5,373.90","5,200.90","5,039.80","5,278.40","5,368.50","5,716.60","5,725.50","5,961.60","6,287.10",
Spain,Value Added (Million Euro) in Manufacture of other non-metallic mineral products,"7,514.80","6,795.70","6,220.60","4,883.60","4,429.50","4,647.80","4,846.40","5,160","5,477.90","6,038.80",
Bavaria,"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.","195,765","226,695","235,060","246,421","246,610","252,469","252,395","252,657","255,794","264,861",
Bavaria,"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers","168,593","195,229","200,232","204,956","208,496","213,975","225,252","228,485","232,313","233,852",
Bavaria,"Employment (Number, FTE) in Manufacture of electrical equipment","95,603","110,333","116,165","114,442","115,593","125,050","123,818","124,288","134,449","135,401",
Bavaria,"Employment (Number, FTE) in Manufacture of food products","94,420","112,884","114,310","114,642","115,172","119,848","121,013","125,771","127,277","129,195",
Bavaria,"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment","86,268","101,282","104,675","107,481","108,490","110,715","113,184","118,048","120,120","125,808",
Bavaria,"Employment (Number, FTE) in Manufacture of computer, electronic and optical products","73,200","84,482","86,372","87,929","88,232","90,733","92,881","95,102","97,720","104,509",
Bavaria,"Employment (Number, FTE) in Manufacture of rubber and plastic products","69,161","81,192","85,217","87,459","87,011","87,380","84,375","85,059","88,012","91,927",
Bavaria,"Employment (Number, FTE) in Manufacture of chemicals and chemical products","48,051","55,550","56,902","57,092","58,653","59,594","59,565","60,400","62,256","63,960",
Bavaria,"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",974,"5,248","5,039","5,103","5,096","5,103","5,097","5,133","5,101","5,116",
Bavaria,Firms (Number) in Manufacture of food products,839,"4,640","4,505","4,414","4,348","4,411","4,299","4,432","4,383","4,367",
Bavaria,Firms (Number) in Manufacture of machinery and equipment n.e.c.,872,"4,613","4,534","4,449","4,418","4,434","4,424","4,299","4,259","4,240",
Bavaria,Firms (Number) in Manufacture of rubber and plastic products,552,"2,933","2,835","2,855","2,871","2,815","2,719","2,690","2,706","2,684",
Bavaria,"Firms (Number) in Manufacture of computer, electronic and optical products",344,"1,875","1,788","1,745","1,733","1,764","1,815","1,849","1,815","1,799",
Bavaria,Firms (Number) in Manufacture of electrical equipment,381,"2,102","2,017","1,915","1,861","1,789","1,782","1,743","1,733","1,721",
Bavaria,"Firms (Number) in Manufacture of motor vehicles, trailers and semi-trailers",228,"1,261","1,199","1,165","1,146","1,105","1,132","1,114","1,098","1,099",
Bavaria,Firms (Number) in Manufacture of chemicals and chemical products,219,"1,225","1,178","1,163","1,163","1,154","1,123","1,113","1,115","1,085",
Bavaria,Share at Manufacturing Employment Manufacture of machinery and equipment n.e.c.,17.3,17.2,17.4,18,18,18.2,17.9,17.7,17.6,17.8,
Bavaria,"Share at Manufacturing Employment Manufacture of motor vehicles, trailers and semi-trailers",14.9,14.8,14.8,15,15.2,15.4,16,16,16,15.7,
Bavaria,Share at Manufacturing Employment Manufacture of electrical equipment,8.5,8.4,8.6,8.4,8.4,9,8.8,8.7,9.3,9.1,
Bavaria,Share at Manufacturing Employment Manufacture of food products,8.3,8.6,8.5,8.4,8.4,8.6,8.6,8.8,8.8,8.7,
Bavaria,"Share at Manufacturing Employment Manufacture of fabricated metal products, except machinery and equipment",7.6,7.7,7.8,7.9,7.9,8,8,8.3,8.3,8.4,
Bavaria,"Share at Manufacturing Employment Manufacture of computer, electronic and optical products",6.5,6.4,6.4,6.4,6.4,6.5,6.6,6.7,6.7,7,
Bavaria,Share at Manufacturing Employment Manufacture of rubber and plastic products,6.1,6.2,6.3,6.4,6.4,6.3,6,6,6.1,6.2,
Bavaria,Share at Manufacturing Employment Manufacture of chemicals and chemical products,4.2,4.2,4.2,4.2,4.3,4.3,4.2,4.2,4.3,4.3,
Bavaria,"Wages Manufacture of motor vehicles, trailers and semi-trailers","8,866.20","10,131.90","11,115.20","11,531.40","12,642.20","13,566.80","14,713.90","15,397.90","15,974.60","16,794.20",
Bavaria,Wages Manufacture of machinery and equipment n.e.c.,"8,326.30","9,506.70","10,361.60","11,356.20","11,715.20","12,259.30","12,552.40","12,866.20","13,369.40","14,254",
Bavaria,Wages Manufacture of electrical equipment,"4,376.80","4,878","5,257.90","5,411","5,613.10","6,560.30","6,633.70","6,804.10","7,679.20","7,932.20",
Bavaria,"Wages Manufacture of computer, electronic and optical products","3,732.10","4,200.90","4,409.40","4,569.40","4,647.30","4,891.50","5,181.90","5,476.50","5,670.10","6,168.70",
Bavaria,"Wages Manufacture of fabricated metal products, except machinery and equipment","2,743.60","3,202","3,429.80","3,652.10","3,790.20","3,940.20","4,124.70","4,422.40","4,591","4,936.30",
Bavaria,Wages Manufacture of food products,"2,258.30","2,609.80","2,697.40","2,741.60","2,836.50","2,950.70","3,086.50","3,265.80","3,402","3,560.60",
Bavaria,Wages Manufacture of chemicals and chemical products,"2,237.40","2,527.50","2,690.70","2,763.70","2,831.90","3,004.50","3,069.30","3,166.10","3,357.40","3,547.40",
Bavaria,Wages Manufacture of rubber and plastic products,"2,253","2,572.90","2,759.30","2,900.70","2,938.50","3,010.30","2,954.80","3,118.70","3,273","3,467",
Baden-Wuerttemberg,"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.","284,957","317,983","326,880","332,006","333,979","339,603","342,508","343,404","353,176","366,694",
Baden-Wuerttemberg,"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers","196,417","222,939","227,731","231,402","235,205","240,299","243,789","249,379","252,348","256,685",
